location,city,country,utc,local,parameter,value,unit,attribution
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T20:00:00.000Z,2016-06-14T17:00:00-03:00,o3,28,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T20:00:00.000Z,2016-06-14T17:00:00-03:00,no2,53,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T20:00:00.000Z,2016-06-14T17:00:00-03:00,pm25,13,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T19:00:00.000Z,2016-06-14T16:00:00-03:00,pm25,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T19:00:00.000Z,2016-06-14T16:00:00-03:00,o3,47,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T19:00:00.000Z,2016-06-14T16:00:00-03:00,no2,39,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T18:00:00.000Z,2016-06-14T15:00:00-03:00,no2,35,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T18:00:00.000Z,2016-06-14T15:00:00-03:00,o3,48,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T18:00:00.000Z,2016-06-14T15:00:00-03:00,pm25,9,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T17:00:00.000Z,2016-06-14T14:00:00-03:00,no2,31,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T17:00:00.000Z,2016-06-14T14:00:00-03:00,pm25,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T17:00:00.000Z,2016-06-14T14:00:00-03:00,o3,45,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T16:00:00.000Z,2016-06-14T13:00:00-03:00,no2,25,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T16:00:00.000Z,2016-06-14T13:00:00-03:00,pm25,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T16:00:00.000Z,2016-06-14T13:00:00-03:00,o3,39,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T15:00:00.000Z,2016-06-14T12:00:00-03:00,pm25,14,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T15:00:00.000Z,2016-06-14T12:00:00-03:00,no2,26,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T15:00:00.000Z,2016-06-14T12:00:00-03:00,o3,33,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T14:00:00.000Z,2016-06-14T11:00:00-03:00,o3,28,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T14:00:00.000Z,2016-06-14T11:00:00-03:00,pm25,10,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T14:00:00.000Z,2016-06-14T11:00:00-03:00,no2,30,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T13:00:00.000Z,2016-06-14T10:00:00-03:00,pm25,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T13:00:00.000Z,2016-06-14T10:00:00-03:00,o3,19,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T13:00:00.000Z,2016-06-14T10:00:00-03:00,no2,32,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T12:00:00.000Z,2016-06-14T09:00:00-03:00,o3,8,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T12:00:00.000Z,2016-06-14T09:00:00-03:00,pm25,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T12:00:00.000Z,2016-06-14T09:00:00-03:00,no2,38,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T11:00:00.000Z,2016-06-14T08:00:00-03:00,pm25,6,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T11:00:00.000Z,2016-06-14T08:00:00-03:00,o3,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T11:00:00.000Z,2016-06-14T08:00:00-03:00,no2,42,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T10:00:00.000Z,2016-06-14T07:00:00-03:00,no2,37,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T10:00:00.000Z,2016-06-14T07:00:00-03:00,o3,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T10:00:00.000Z,2016-06-14T07:00:00-03:00,pm25,1,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T09:00:00.000Z,2016-06-14T06:00:00-03:00,o3,15,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T09:00:00.000Z,2016-06-14T06:00:00-03:00,no2,17,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T09:00:00.000Z,2016-06-14T06:00:00-03:00,pm25,5,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T08:00:00.000Z,2016-06-14T05:00:00-03:00,o3,21,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T08:00:00.000Z,2016-06-14T05:00:00-03:00,no2,11,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T08:00:00.000Z,2016-06-14T05:00:00-03:00,pm25,2,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T07:00:00.000Z,2016-06-14T04:00:00-03:00,pm25,3,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T07:00:00.000Z,2016-06-14T04:00:00-03:00,o3,12,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T07:00:00.000Z,2016-06-14T04:00:00-03:00,no2,22,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
Cid.Universitária-USP-Ipen,São Paulo,BR,2016-06-14T06:00:00.000Z,2016-06-14T03:00:00-03:00,no2,41,µg/m³,"[{""name"":""CETESB"",""url"":""http://cetesb.sp.gov.br/""}]"
